證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
6674,56100,36,1776770,31.35,32.0,31.35,31.9,0.6,31.8,1,31.9,2,96.67
6698,253204,132,10083707,40.7,40.7,39.3,39.5,0.45,39.5,5,39.65,1,3950.0
6706,751275,530,118699431,157.0,159.5,156.5,158.5,0.5,158.0,22,159.0,31,48.62
6715,90020,72,11458540,130.0,130.0,127.0,127.0,1.0,127.0,7,127.5,3,30.83
6743,3654117,2674,520626022,138.5,147.5,136.5,146.5,12.0,146.0,18,146.5,5,59.07
6754,16001,12,659391,41.7,41.7,41.0,41.05,0.55,41.05,1,41.4,1,14.71
6756,1710264,1752,458150944,270.0,275.5,257.0,262.0,7.0,261.5,7,262.0,11,53.36
8011,3614087,1654,83645391,23.2,23.7,22.8,23.2,0.2,23.2,16,23.25,7,386.67
8016,2509804,1714,401891658,162.0,162.0,158.5,159.0,1.0,159.0,17,159.5,39,15.85
8021,1165644,584,31690493,27.05,27.4,27.05,27.25,0.2,27.2,9,27.25,11,18.41
8028,2676369,1781,153478062,57.9,58.6,56.7,56.9,0.9,56.9,16,57.0,10,50.35
8033,6406336,2368,92074121,14.0,14.75,13.95,14.6,0.8,14.55,25,14.6,6,0.0
8039,1390486,937,76608478,55.1,55.7,54.6,54.9,0.2,54.9,19,55.0,4,15.82
8046,10335095,7503,1757406375,172.5,174.5,168.0,168.5,3.0,168.5,321,169.0,57,41.5
8070,4566415,2002,139884429,30.4,30.95,30.3,30.3,0.2,30.3,33,30.35,17,19.68
8072,108522,75,3094875,28.9,29.0,28.3,28.35,0.1,28.35,2,28.4,8,0.0
8081,171160,170,27289904,160.0,160.5,158.5,158.5,0.5,158.5,3,159.0,4,14.15
8101,184994,68,748583,4.02,4.06,4.0,4.06,0.02,4.06,15,4.1,7,0.0
8103,8174090,4313,294983566,35.75,36.55,35.3,36.25,1.0,36.2,17,36.25,23,14.62
8104,417635,309,21918342,52.0,53.4,52.0,52.4,0.6,52.3,11,52.4,3,27.15
8105,1965337,696,23625927,12.15,12.2,11.75,11.85,0.15,11.85,1,11.9,7,0.0
8110,13559696,3460,191153526,14.25,14.35,13.75,14.05,0.05,14.05,92,14.1,299,21.62
8112,1987562,1073,68719013,34.65,34.7,34.5,34.5,0.05,34.5,56,34.55,12,9.22
8114,39631,37,3120239,78.7,78.9,78.6,78.7,0.0,78.8,1,78.9,2,34.98
8131,253265,146,9511917,37.6,37.85,37.3,37.45,0.05,37.4,17,37.45,8,11.89
8150,7401378,3667,255087109,34.8,34.8,34.2,34.4,0.35,34.4,92,34.45,49,11.32
8163,1250890,680,53867790,43.2,43.5,42.85,43.0,0.15,43.0,55,43.05,2,13.96
8201,26086,18,251245,9.67,9.67,9.48,9.6,0.11,9.6,7,9.64,10,0.0
8210,135200,104,11071500,82.3,82.3,81.6,81.8,0.2,81.6,2,81.8,8,10.71
8213,1329473,641,59062061,44.5,44.7,44.0,44.2,0.1,44.2,11,44.25,6,6.43
8215,2769636,1285,75072151,27.05,27.5,26.8,27.0,0.05,27.0,111,27.05,7,33.75
8222,228996,182,3089668,13.35,13.65,13.35,13.45,0.1,13.45,2,13.5,9,0.0
8249,197143,113,3920334,19.8,19.95,19.8,19.85,0.05,19.85,23,19.9,9,18.73
8261,35337743,19368,1891174191,51.4,55.0,51.3,53.0,2.1,53.0,73,53.1,25,32.12
8271,507178,360,19991063,39.35,39.7,39.2,39.35,0.1,39.3,8,39.4,7,11.82
8341,105614,389,24434472,232.0,232.5,230.5,231.0,2.5,230.5,9,231.0,2,26.52
8367,901286,501,26515443,28.7,30.3,28.7,29.8,1.4,29.8,7,29.85,3,11.6
8374,208048,120,5320271,25.9,26.0,25.2,25.6,0.2,25.55,4,25.65,2,150.59
8404,246268,138,7326071,29.45,29.9,29.45,29.7,0.35,29.6,12,29.7,1,20.77
8411,128841,125,1806778,14.1,14.2,13.9,14.0,0.05,13.95,6,14.0,1,17.5
8422,76823,104,12495708,163.5,163.5,162.0,162.5,0.0,162.5,4,163.0,20,14.89
8427,4244,5,186637,44.1,44.1,43.65,44.1,0.8,42.0,1,44.65,1,0.0
8429,1161459,673,11088536,9.51,9.78,9.32,9.34,0.05,9.34,3,9.4,7,0.0
8442,11000,11,559700,51.8,51.8,50.6,50.9,0.9,50.9,8,51.0,16,221.3
8443,28524,70,330957,11.5,11.75,11.5,11.5,0.1,11.5,5,11.55,6,0.0
8454,132241,218,82696986,633.0,635.0,618.0,619.0,15.0,619.0,2,624.0,4,49.52
8462,41939,111,6396812,152.5,153.0,152.0,152.0,0.5,152.0,10,153.0,12,27.69
8463,85100,62,3203780,37.5,37.95,37.3,37.55,0.4,37.5,58,37.55,8,56.04
8464,143333,157,45898037,326.0,326.0,318.5,320.0,0.0,320.0,10,321.0,6,20.09
8466,12000,10,770700,63.9,64.4,63.9,64.4,0.5,63.9,1,64.2,5,12.31
8467,3000,3,143900,48.0,48.0,47.9,47.9,0.1,47.8,1,48.4,1,33.97
8473,71161,61,2898496,40.7,40.9,40.6,40.6,0.1,40.6,9,40.65,2,17.58
8478,97000,82,5632100,58.3,58.5,57.8,57.8,0.5,57.8,1,58.2,3,48.57
8480,8000,5,944000,118.0,118.0,118.0,118.0,0.0,117.5,8,119.0,1,11.78
8481,22000,16,1569000,70.5,71.5,70.5,71.1,0.8,70.8,2,71.3,3,6.14
8482,85000,19,8788500,103.0,105.0,102.5,103.0,0.0,102.5,6,103.0,5,16.75
8488,26000,22,394700,15.3,15.5,15.0,15.0,0.1,14.9,1,15.15,8,50.0
8499,128570,117,17842515,139.0,139.5,138.0,138.5,1.0,138.5,8,139.0,2,11.38
8926,780355,499,30252121,38.9,39.0,38.6,38.8,0.1,38.8,4,38.85,17,20.97
8940,44062,84,498694,11.35,11.4,11.2,11.4,0.2,11.3,13,11.4,4,0.0
8996,320607,212,16924101,52.7,53.5,52.3,52.7,0.0,52.5,2,52.7,27,47.48
9103,32973644,15021,980068572,29.5,31.1,28.4,29.2,0.8,29.15,91,29.2,10,0.0
910322,9000,8,211050,23.45,23.5,23.4,23.5,0.05,23.4,7,23.55,2,0.0
9105,19721057,3837,84205877,4.32,4.4,4.2,4.21,0.08,4.21,82,4.22,21,0.0
910861,341700,113,3843705,11.25,11.3,11.2,11.2,0.05,11.2,84,11.25,100,0.0
9110,345000,123,1112350,3.3,3.35,3.15,3.17,0.14,3.17,39,3.19,8,0.0
911608,885000,331,4294960,4.99,5.0,4.7,4.75,0.25,4.75,1,4.79,5,0.0
911616,2596629,624,5590816,2.3,2.3,2.09,2.16,0.0,2.15,1,2.16,2,0.0
911622,601000,170,2597750,4.35,4.45,4.25,4.3,0.09,4.28,10,4.34,3,0.0
911868,1563000,371,2684610,1.73,1.76,1.68,1.7,0.04,1.7,41,1.71,1,0.0
912000,4538017,880,13987032,3.09,3.18,3.01,3.08,0.03,3.07,99,3.08,63,0.0
912398,619000,228,2869560,4.69,4.7,4.6,4.63,0.04,4.63,3,4.64,20,0.0
9136,553000,203,5464540,10.05,10.05,9.83,9.85,0.1,9.85,5,9.88,6,0.0
9188,437000,137,1380460,3.23,3.23,3.1,3.14,0.09,3.14,12,3.15,3,0.0
9802,1134409,944,121731594,109.5,109.5,106.0,108.0,1.5,107.5,36,108.0,4,18.43
9902,2689218,874,30091331,10.95,11.6,10.85,11.45,0.6,11.4,65,11.45,20,44.04
9904,3838542,1968,117714585,30.6,30.8,30.55,30.75,0.2,30.7,15,30.75,14,20.23
9905,153793,68,3507245,22.8,22.85,22.8,22.8,0.05,22.75,39,22.8,2,11.94
9906,30149,30,1156280,38.3,38.5,38.3,38.35,0.0,38.3,3,38.45,11,0.0
9907,1608700,474,18818623,11.7,11.75,11.65,11.7,0.05,11.65,119,11.7,49,21.27
9908,141771,94,4855227,34.35,34.35,34.2,34.3,0.05,34.25,11,34.3,21,21.3
9910,384805,399,75168128,196.0,196.5,195.0,195.0,1.0,195.0,170,195.5,9,34.64
9911,167570,105,8762198,52.2,52.5,52.2,52.3,0.2,52.2,16,52.5,3,12.66
9912,44294,37,370268,8.35,8.45,8.3,8.34,0.01,8.29,2,8.34,2,0.0
9914,1020540,938,229696950,229.0,230.5,223.0,224.0,3.0,224.0,16,225.0,38,19.1
9917,101811,104,8901409,87.5,87.6,87.2,87.4,0.2,87.3,2,87.4,7,17.55
9918,14035,15,515408,37.1,37.2,36.3,36.85,0.35,36.8,1,37.3,5,23.62
9919,5948552,3270,197253693,33.65,33.7,32.8,33.0,0.85,33.0,3,33.05,1,8.99
9921,383457,395,100373452,263.5,263.5,259.5,260.0,2.0,259.5,31,260.0,2,22.87
9924,105910,94,4724034,44.75,44.75,44.5,44.5,0.25,44.5,5,44.6,7,10.3
9925,218706,107,8107112,37.1,37.1,37.0,37.1,0.0,37.05,1,37.1,63,15.52
9926,12100,12,588010,48.25,48.75,48.25,48.7,0.05,48.6,4,48.7,1,21.08
9927,157434,100,4643918,29.7,29.7,29.4,29.55,0.15,29.55,2,29.6,6,21.73
9928,18253,11,92374,5.08,5.1,5.0,5.1,0.01,5.0,1,5.1,6,0.0
9929,59738,34,856039,14.4,14.4,14.2,14.35,0.05,14.25,2,14.4,9,2.93
9930,40129,43,1870645,46.55,46.7,46.45,46.6,0.05,46.6,7,46.65,6,15.59
9931,76,3,3238,,,,,0.0,42.05,1,42.7,2,25.51
9933,1303356,679,50122284,38.45,38.6,38.25,38.55,0.55,38.45,14,38.55,26,25.03
9934,483660,268,7271216,15.1,15.1,15.0,15.05,0.0,15.0,73,15.05,5,0.0
9935,322414,211,9231252,28.85,29.05,28.3,28.45,0.4,28.45,6,28.5,1,16.74
9937,47516,56,2435697,51.2,51.4,51.1,51.1,0.1,51.0,4,51.3,1,21.2
9938,793236,622,56974784,71.9,72.2,71.6,72.0,0.1,71.9,3,72.0,12,14.15
9939,240680,159,14144291,58.9,59.0,58.6,59.0,0.4,58.9,5,59.0,49,10.42
9940,222703,127,6407326,29.0,29.0,28.65,28.85,0.05,28.85,5,28.9,14,17.81
9941,186105,236,18465321,99.4,99.5,99.0,99.3,0.0,99.3,4,99.4,2,14.05
9941A,19325,18,984552,51.0,51.0,50.9,51.0,0.0,50.8,2,51.0,2,0.0
9942,52056,41,3522508,67.9,67.9,67.6,67.7,0.2,67.6,11,67.8,3,15.56
9943,1093120,80,68358397,62.8,63.0,62.8,62.9,0.1,62.9,11,63.0,5,14.87
9944,233291,112,5165031,22.15,22.2,22.0,22.2,0.05,22.2,8,22.25,12,65.29
9945,2166527,1094,88077808,40.8,40.85,40.55,40.6,0.0,40.6,104,40.65,73,8.79
9946,221338,107,3553909,16.15,16.15,15.95,16.1,0.05,16.05,3,16.1,1,9.2
9955,448338,192,8955215,20.0,20.15,19.8,19.95,0.05,19.9,3,19.95,10,0.0
9958,2528886,1820,284787326,113.5,114.5,111.5,112.5,0.5,112.0,47,112.5,29,31.69
